,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
78,12,14,-16.34,-1.49,0.022,0.0,0.0,11.700999999999999,19.892,13.889,24.688,valid
79,12,15,-14.24,-1.53,0.043,-0.001,-0.002,5.971,17.671999999999997,14.469000000000001,26.908,valid
80,12,16,-14.68,-1.31,0.02,-0.001,0.0,8.511,14.482,16.278999999999996,29.427999999999997,valid
81,12,17,-10.45,-0.74,0.056,0.013,-0.005,3.8409999999999993,12.351999999999999,16.929,31.778,valid
82,12,18,-9.1,-0.43,0.094,-0.004,-0.005,6.721,10.562,18.779,34.428,valid
83,12,19,-3.8,-0.08,0.051,-0.015,-0.003,2.771,9.492,19.359,36.718,valid
84,12,20,-1.22,0.03,0.016,-0.001,0.0,5.491,8.262,21.139000000000003,39.268,valid
85,12,21,5.54,0.7,0.046,0.014,-0.006,1.311,6.802,21.669000000000004,41.168000000000006,valid
86,12,22,9.63,1.08,0.103,0.009,-0.003,3.980999999999999,5.291999999999998,23.049,43.087999999999994,valid
87,12,23,16.79,1.15,0.112,0.007,-0.011,0.9110000000000014,4.8919999999999995,23.499000000000002,44.938,valid
88,12,24,21.59,1.16,0.122,-0.002,-0.013,3.270999999999999,4.182,24.899,46.858000000000004,valid
89,12,25,29.56,1.17,0.141,-0.018,-0.005,0.10100000000000087,3.372,25.259,48.568,valid
90,12,26,35.26,1.14,0.141,-0.021,0.0,2.3710000000000004,2.4720000000000013,26.509,50.348,valid
91,12,28,49.89,0.47,0.011,-0.001,0.0,1.9309999999999992,1.511999999999997,28.659000000000006,53.988,valid
92,13,9,17.15,-1.46,0.058,-0.002,-0.007,16.351,41.562,0.2190000000000012,3.838000000000001,valid
93,13,10,6.45,-0.48,0.072,-0.017,-0.003,18.771,35.122,0.6589999999999998,6.187999999999999,valid
94,13,11,0.29,-0.11,0.09,-0.019,0.0,14.231,33.001999999999995,2.3089999999999993,9.108,valid
95,13,12,-8.4,-0.39,0.074,-0.023,0.0,16.761,30.992,3.099,14.278,valid
96,13,13,-12.57,-1.17,0.073,-0.02,0.0,12.241,29.002,7.148999999999999,19.078,valid
97,13,14,-17.5,-2.19,0.022,0.0,0.0,13.001,25.241999999999997,8.449,22.338,valid
98,13,15,-17.05,-2.15,0.032,0.005,0.0,7.621,20.622,10.099,24.568,valid
99,13,16,-18.11,-1.91,0.02,-0.001,0.0,9.130999999999998,16.752,10.719,26.997999999999998,valid
100,13,17,-15.55,-1.36,0.06,0.003,-0.002,5.511000000000001,14.642,12.389000000000001,29.317999999999998,valid
101,13,18,-14.86,-1.08,0.077,-0.009,-0.007,7.3809999999999985,12.892,13.049,31.828,valid
102,13,19,-11.27,-0.89,0.05,-0.015,-0.003,4.481,11.861999999999998,14.759,34.117999999999995,valid
103,13,20,-9.34,-0.86,0.016,-0.001,0.0,6.141,10.622,15.408999999999999,36.548,valid
104,13,21,-4.12,-0.25,0.047,0.008,-0.004,2.851,8.992,16.948999999999998,38.618,valid
105,13,22,-0.61,0.1,0.067,-0.002,-0.008,4.561,7.411999999999999,17.529,40.578,valid
106,13,23,5.23,0.26,0.08,-0.009,0.0,2.230999999999999,6.791999999999998,18.848999999999997,42.348,valid
107,13,24,9.49,0.24,0.093,-0.021,0.0,3.811,6.042,19.389,44.288,valid
108,13,25,15.89,0.02,0.089,-0.017,-0.001,1.6709999999999994,5.481999999999999,20.958999999999996,46.218,valid
109,13,26,20.78,-0.35,0.072,-0.017,-0.003,3.180999999999999,4.8519999999999985,21.769,48.27799999999999,valid
110,13,27,27.78,-0.81,0.041,-0.011,-0.005,1.0709999999999997,4.251999999999999,23.259,50.337999999999994,valid
111,13,28,33.29,-1.43,0.011,-0.001,0.0,2.5610000000000017,3.6320000000000014,23.889000000000003,52.548,valid
112,13,30,48.26,-1.56,0.039,-0.003,-0.005,1.2209999999999983,1.1720000000000006,25.31900000000001,54.968,valid
113,14,11,3.44,-1.0,0.023,-0.001,0.0,14.981,35.682,4.138999999999999,6.447999999999999,valid
114,14,12,-7.2,-1.22,0.022,0.0,0.0,18.711,33.692,6.0889999999999995,9.187999999999999,valid
115,14,13,-12.66,-2.02,0.022,0.0,0.0,13.530999999999999,32.242000000000004,7.379,14.527999999999999,valid
116,14,14,-21.45,-3.21,0.022,0.0,0.0,16.860999999999997,30.392,11.238999999999999,19.688,valid
117,14,15,-21.58,-3.13,0.021,-0.001,0.0,8.200999999999999,25.061999999999998,11.818999999999997,21.918,valid
118,14,16,-24.43,-2.88,0.02,-0.001,0.0,10.921000000000001,19.122,13.609,24.328,valid
119,14,17,-22.39,-2.29,0.027,0.0,-0.006,6.031000000000001,16.952,14.129,26.518,valid
120,14,18,-23.32,-1.94,0.023,-0.001,-0.002,9.001,15.032,15.749,28.798000000000002,valid
121,14,19,-20.41,-1.92,0.023,-0.001,-0.004,5.161,14.161999999999999,16.429000000000002,31.188,valid
